mealCode,fish,potatoes,green_peas,carrots
E001,9,13,1,15
E001,9,19,5,9
E001,7,12,7,18
E001,20,5,2,20
E001,4,9,18,17
E001,16,15,6,15
E001,13,5,7,9
E001,16,17,17,2
E001,14,3,16,16
E001,18,17,17,4
E001,11,6,2,10
E001,8,7,16,15
E001,8,5,2,14
E001,16,17,11,13
E001,14,11,11,13
E001,15,8,14,17
E001,11,20,18,6
E001,2,12,8,15
E001,9,8,1,3
E001,3,17,1,2
E001,3,11,2,17
E001,6,8,13,19
E001,8,12,19,18
E001,13,15,5,14
E001,15,9,5,16
E001,9,14,17,2
E001,10,15,2,5
E001,15,16,19,3
E001,18,2,4,6
E001,13,8,9,18
E001,7,1,7,11
E001,1,15,2,11
E001,12,8,12,16
E001,18,16,3,14
