mealCode	beef	noodles	onion					
E002	13	5	20					
E002	13	8	4					
E002	2	13	9					
E002	8	17	14					
E002	13	13	17					
E002	8	19	16					
E002	13	19	3					
E002	3	8	19					
E002	6	8	12					
E002	8	15	18					
E002	11	18	16					
E002	3	1	6					
E002	17	11	6					
E002	3	17	6					
E002	9	9	16					
E002	11	17	11					
E002	8	11	8					
E002	13	4	20					
E002	17	11	14					
E002	15	16	11					
E002	7	10	5					
E002	8	4	11					
E002	17	9	13					
E002	16	4	3					
E002	11	17	3					
E002	2	4	18					
E002	10	12	9					
E002	19	2	6					
E002	11	14	16					
E002	5	17	2					
E002	15	13	20					
E002	11	0	14					
E002	8	14	9					
E002	15	9	6					
E002	11	5	3					
